2003, Chips, 6.00, Failed, 2025-09-20 12:00:00
2003, Chips, 6.00, Failed, 2025-09-21 13:00:00
2002, Juice, 4.00, Failed, 2025-09-21 14:10:00
2003, Chips, 6.00, Failed, 2025-09-22 14:00:00
2002, Juice, 4.00, Failed, 2025-09-22 19:25:00
2003, Chips, 6.00, Failed, 2025-09-23 15:00:00
2001, Water, 2.00, Failed, 2025-10-05 08:00:00
2003, Chips, 6.00, Failed, 2025-09-24 16:00:00
2002, Juice, 4.00, Failed, 2025-10-04 09:00:00
2002, Juice, 4.00, Failed, 2025-10-04 18:20:00
2001, Water, 2.00, Failed, 2025-10-05 10:15:00
2002, Juice, 4.00, Failed, 2025-10-05 09:30:00
2001, Tea, 4.00, Failed, 2025-10-05 11:30:00
2002, Juice, 4.00, Failed, 2025-10-05 20:10:00
